Date,USD_to_PKR,Oil_Price,Inflation_Rate,Interest_Rate,Gold_Price,Foreign_Reserves_Billion_USD,KSE_100_Index
2020-01-05,160.44835707650563,51.255819447196416,9.68147151000794,13.097374901020777,1199.7702404444672,10.191800751517702,35010.2100551976
2020-01-12,160.57922492592002,51.52708660040437,12.669633502866862,7.365073917594761,1200.9731932704021,10.223853612660257,35012.08039880262
2020-01-19,161.10306919497037,51.967756292458546,9.96716154897037,8.805498610159933,1201.3205204307546,10.561877055750152,34979.38216935928
2020-01-26,162.06458412317437,52.35395682150651,10.048441743818476,8.236402258330191,1201.5444548802325,10.476598595338297,34970.348415515946
2020-02-02,162.1475074358127,52.64937419689824,12.889882423925105,12.695516633154092,1201.35111176816,10.88678668192046,34890.70057480618
2020-02-09,162.23043895733812,52.65479342350614,8.631345795911574,6.301791912622014,1201.7812357199236,10.928755091791592,34890.78359346644
2020-02-16,163.22004536509183,52.98248418965412,6.206137056055766,11.129007163841848,1201.7009805894286,10.692600071367982,34846.35403810889
2020-02-23,163.80376272966828,52.85063662529285,5.259044086820051,12.862128171666214,1201.8997845152867,10.76822095435014,34796.17457224811
2020-03-01,163.7690255367008,52.87959104327085,11.79623530106257,13.890890730855745,1203.0738183305941,10.682010622855165,34810.16927980578
2020-03-08,164.2403055584938,52.83398197892212,10.582785962181182,9.078735738443168,1203.1853943707042,10.900139332652909,34884.76939412301
2020-03-15,164.20859671208754,52.95854422073801,11.336717912893011,13.391315742048116,1203.7951037012185,10.81961453679243,34935.68522442313
2020-03-22,164.17573183530243,53.75294179074007,6.9166774535801965,6.9956856325968655,1203.6638331311683,10.780377850149474,34862.160194241966
2020-03-29,164.49671297108543,53.292762232962545,6.227343280280928,13.618070625610663,1203.7998377349695,10.452469703960368,34817.678787413446
2020-04-05,163.74007284875654,53.5986402900749,5.130901991010937,7.147397960987842,1204.6581579892236,10.412008440110553,34869.71734681286
2020-04-12,163.07761393250001,53.214825528718,8.155288029259372,9.575585615043305,1204.5573711661086,9.977232574784761,34825.592977135944
2020-04-19,162.99647016787955,53.17324596898117,10.309259181691697,13.175658292015981,1205.4323505893074,9.710452010087618,34819.36131963609
2020-04-26,162.6900546077123,53.59993114807138,8.530196405897591,7.349256846138964,1205.8654513634895,9.912534941316476,34851.86392458732
2020-05-03,163.04717827400995,53.71921515380002,8.937274298213563,8.063262557093774,1205.7904646531317,10.119694973046643,34808.446701844136
2020-05-10,162.79316623624936,53.49589172042123,13.137428250443735,12.500273115537595,1206.193427748754,10.254786485403637,34818.71547715143
2020-05-17,162.2870143855817,53.38130060764324,8.134299203209704,12.480328828914669,1206.7324495286048,10.111391256777793,34757.014202405524
2020-05-24,163.2198387700425,53.68517993232364,9.625905402438297,11.770328695967676,1207.1311735134916,10.151848985549398,34731.94582020796
2020-05-31,163.3069506197992,53.5660699428085,12.052877114670288,12.2455360002039,1206.6530836255354,10.201128477731285,34752.93491691509
2020-06-07,163.54071472214318,53.73100751968309,8.56888504089143,10.884519990128366,1206.5122287552053,10.019455539892775,34678.28523023851
2020-06-14,163.02834062903645,53.844679071654234,10.598780302050862,8.266191530162574,1206.5632213009849,10.370135200246205,34705.30896713653
2020-06-21,162.95614926677385,53.74919896737249,12.761273378720706,9.111263941535274,1206.6834479293448,10.59560765836134,34709.327077190195
2020-06-28,163.2116105616288,54.49238219417009,13.54568561291878,7.634379451212832,1207.0817167683651,10.601414823595407,34741.95157491105
2020-07-05,162.83611377291766,54.78255790086549,6.323661328361341,14.176055052002654,1207.3027971687384,10.656791991394313,34758.147281614285
2020-07-12,163.22396278209047,54.27501512486821,13.339288626453449,11.250526152895084,1206.9186594252544,10.748468552983823,34831.354303112974
2020-07-19,163.12364343713108,54.430951419299035,9.429046637715844,9.607662750872759,1207.2207385656568,10.390121579298965,34842.61552824537
2020-07-26,163.17779656223445,54.33241547986852,7.324199494690625,10.158052232797194,1207.6149728637702,10.390686102794845,34826.14525118911
2020-08-02,163.07694325611973,54.68814548030739,9.13222180614435,14.525550056506338,1207.9888890429427,10.304289253195286,34837.26012634073
